@relation sheep_weight

@attribute K_0_19 numeric
@attribute K_20_39 numeric
@attribute K_40_59 numeric
@attribute K_60_79 numeric
@attribute K_80_99 numeric
@attribute K_100_119 numeric
@attribute K_120_139 numeric
@attribute K_140_159 numeric
@attribute K_160_180 numeric
@attribute Major_axis numeric
@attribute Minor_axis numeric
@attribute Hu_0 numeric
@attribute Hu_1 numeric
@attribute Hu_2 numeric
@attribute Hu_3 numeric
@attribute Hu_4 numeric
@attribute Hu_5 numeric
@attribute Hu_6 numeric
@attribute Area numeric
@attribute Perimeter numeric
@attribute Weight numeric

@data
0,0,0,80,170,148,226,431,2953,827.7226209819828,377.33856094569404,0.0008741977191602208,3.287441023122729e-07,4.9546592624839294e-11,8.935033285195468e-12,1.2707963678379002e-22,1.4272067326263838e-15,-1.385412462422039e-22,230954.5,2441.755606532097,33.2
0,0,0,74,166,151,191,652,2856,846.5548827600572,382.36929401621177,0.0008926307535734852,3.4825314245901036e-07,6.905626022752389e-11,1.2622094862042977e-11,2.480107951672192e-22,1.7434228252186692e-15,-2.7813145941876196e-22,235841.0,2497.027684688568,33.2
0,0,70,72,98,101,249,737,3100,922.6023666038133,355.67755167317483,0.0009781887073483455,5.256969555324592e-07,5.075405902367181e-11,2.1320830063976027e-11,6.87691061411873e-22,1.3772893437258018e-14,-1.3779739272030067e-22,243808.5,2677.2114502191544,33.2
0,0,0,75,123,116,218,630,2780,828.0254990094575,369.16577209845093,0.0008636366480400176,3.3319693219847245e-07,2.5690197029565653e-11,9.217412888893686e-12,1.4183606278835074e-22,5.320021514775494e-15,-9.91601950713472e-25,232206.5,2384.0499819517136,33.2
0,0,0,78,132,117,244,550,2915,870.942408683527,355.515091740054,0.000931531563419739,4.42808097993189e-07,5.41408849063236e-11,2.0781802938392753e-11,6.848670645941828e-22,1.2484241197794188e-14,1.299560071021447e-22,231768.5,2470.441898226738,33.2
0,37,45,29,150,147,297,698,2888,883.8071790541386,357.21282319664897,0.0009371167663721332,4.541934888257605e-07,2.730836148787601e-11,1.0272664052807306e-11,1.6810002723524017e-22,5.886187327699387e-15,3.668795758064492e-23,236531.5,2634.1231375932693,33.2
0,33,58,32,132,172,297,549,3120,925.0374110654606,362.66560832154215,0.0009686614665876088,5.04886979717277e-07,5.0337633396847215e-11,1.7810572695889002e-11,5.079223013111318e-22,1.0065253790747608e-14,1.6252038641355867e-22,248606.5,2706.441898226738,33.2
0,0,0,35,146,194,627,1002,1892,712.7777789366929,447.28881652654263,0.0007218948765768411,9.858109966768492e-08,1.344225034506023e-11,7.143449143386011e-13,-1.835072050059391e-24,-1.2602882999294728e-16,-1.2379450657773446e-24,239395.5,2380.7850440740585,34.8,
0,0,2,36,102,159,581,797,2193,740.2754844491819,426.17583945223805,0.0007567356730999616,1.4439323607565672e-07,1.601315895573156e-11,1.511763477625624e-12,-4.312543060912566e-24,-4.801975278547933e-16,6.0603532777985506e-24,235306.0,2328.3758828639984,34.8,
0,0,0,90,127,160,551,911,2236,758.485488851454,428.17539583096067,0.0007779224649237376,1.615490835443206e-07,2.877259208974266e-11,2.515455398397881e-12,-1.2348441025548345e-23,-8.674133277861237e-16,1.7477911235934466e-23,237957.5,2424.4763880968094,34.8,
0,0,36,17,154,257,486,703,2230,781.8199746178635,398.3733074631371,0.0008026869717627385,2.2258230043565176e-07,1.9428766053639712e-11,2.8688595947962113e-12,1.1364403642754267e-23,2.2372002848953436e-16,1.8154811636670637e-23,234059.0,2414.6845388412476,34.8,
0,0,0,39,142,166,653,1093,1893,748.2698672160295,428.1949753125598,0.0007583359667574919,1.4760612909129453e-07,2.0215703084195942e-11,1.5118999062457886e-12,-6.3541689646447956e-24,-5.48553746746192e-16,5.430401868500529e-24,239183.0,2397.630716085434,34.8,
0,0,0,0,25,171,342,815,2329,771.2862483027659,414.2658886180282,0.0007862070910660166,1.8848567353681202e-07,2.2566609439993514e-11,3.1931063299022615e-12,7.829262943635809e-24,-2.52314746087024e-16,2.5949885874435756e-23,237985.5,2229.505825638771,34.8,
0,0,0,57,105,229,242,666,3182,985.4705839102268,368.50401194500046,0.0009999434499927274,5.694310557306637e-07,5.268219946571824e-11,2.0902697897366525e-11,6.814141304043715e-22,1.428570751188623e-14,-1.296695463111437e-22,270132.0,2706.6012785434723,34.8
0,0,0,0,120,330,512,698,2427,840.8128819339971,387.7277194392675,0.0008668233955891017,3.1676357423458533e-07,5.227487682448092e-11,1.0140506523577085e-11,1.8474636013395326e-22,3.2465040835696716e-15,-1.4275241875168238e-22,241325.0,2462.032737016678,34.8
0,0,0,65,74,245,481,866,2243,816.8276740075561,400.1411853342798,0.0008323773426475546,2.6029797125477445e-07,3.335898474658844e-11,5.7240808623459866e-12,4.566828882628066e-23,5.866412430559663e-16,6.458241280676966e-23,242550.0,2413.40532040596,34.8
0,0,0,55,114,217,407,970,2279,841.9497777607168,383.58232786682476,0.0008650930477587893,3.2228492442137106e-07,2.8120206755077186e-11,7.532656517938084e-12,9.754523602331554e-23,3.061117458132711e-15,5.003777933846698e-23,241459.0,2444.317007780075,34.8
0,0,0,57,132,180,469,794,2638,891.5080915691567,385.87195377001575,0.0009199585525494259,3.96460523678915e-07,7.792016655117816e-11,2.0028288825170326e-11,6.940040620969527e-22,8.616052129024142e-15,-3.7995863103945338e-22,250299.0,2554.4591431617737,34.8
0,0,7,49,140,231,466,703,2517,853.9404866770293,377.5038330822836,0.0008771094419327712,3.4848970797651084e-07,3.571229268236891e-11,8.23471269042787e-12,1.283452589119267e-22,3.6817208788779535e-15,-5.890022222584311e-23,242515.0,2453.8906016349792,34.8
0,0,0,16,136,238,483,878,2242,862.1232900174747,366.91938623738173,0.00089537406142597,3.853314158562028e-07,3.2185234435080455e-11,1.0193940360447733e-11,1.84646614715444e-22,6.3211776429353344e-15,-1.3800119730636112e-25,239247.0,2424.2337474823,34.8
0,0,16,26,128,210,524,622,2601,868.7669324086864,380.1875584349513,0.000888206006320276,3.63231160514066e-07,4.266077005458798e-11,1.0183896252475332e-11,1.8546835133649413e-22,4.068353602469507e-15,1.0324414548881946e-22,247081.0,2458.8611640930176,34.8
0,0,0,39,194,157,255,588,2848,861.5084711577686,389.2202754079183,0.0008717479311566721,3.3200850594988974e-07,4.2798055404691716e-11,8.290563327783168e-12,1.172698162490756e-22,1.9588675597592584e-15,1.0312996024627995e-22,250185.0,2475.145434856415,34.8
